fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,0,1,-1018.147330774798,-3687.312225218464,2016-05-13T17:43:24Z,28.53281667,-81.84433333,20.00,72.39
2,0,2,-988.147330774798,-3657.312225218464,2016-05-13T17:43:54Z,28.53281667,-81.84435000,20.00,72.391
3,0,3,-958.147330774798,-3627.312225218464,2016-05-13T17:44:24Z,28.53281667,-81.84436667,21.00,72.391
4,0,4,-928.147330774798,-3597.312225218464,2016-05-13T17:44:54Z,28.53281667,-81.84436667,21.00,72.391
5,0,5,-898.147330774798,-3567.312225218464,2016-05-13T17:45:24Z,28.53281667,-81.84435000,21.00,72.391
6,0,6,-868.147330774798,-3537.312225218464,2016-05-13T17:45:54Z,28.53283333,-81.84440000,22.00,72.394
7,0,7,-838.147330774798,-3507.312225218464,2016-05-13T17:46:24Z,28.53281667,-81.84443333,22.00,72.394
8,0,8,-808.147330774798,-3477.312225218464,2016-05-13T17:46:54Z,28.53281667,-81.84443333,22.00,72.394
9,0,9,-778.147330774798,-3447.312225218464,2016-05-13T17:47:24Z,28.53276667,-81.84453333,22.00,72.393
10,0,10,-748.147330774798,-3417.312225218464,2016-05-13T17:47:54Z,28.53301667,-81.84551667,38.00,72.461
11,0,11,-717.147330774798,-3386.312225218464,2016-05-13T17:48:25Z,28.53600000,-81.84776667,147.00,72.855
12,0,12,-714.147330774798,-3383.312225218464,2016-05-13T17:48:28Z,28.53646667,-81.84775000,155.00,72.901
13,0,13,-711.147330774798,-3380.312225218464,2016-05-13T17:48:31Z,28.53691667,-81.84775000,167.00,72.946
14,0,14,-708.147330774798,-3377.312225218464,2016-05-13T17:48:34Z,28.53731667,-81.84776667,176.00,72.987
15,0,15,-705.147330774798,-3374.312225218464,2016-05-13T17:48:37Z,28.53775000,-81.84781667,185.00,73.032
16,0,16,-702.147330774798,-3371.312225218464,2016-05-13T17:48:40Z,28.53818333,-81.84795000,198.00,73.081
17,0,17,-699.147330774798,-3368.312225218464,2016-05-13T17:48:43Z,28.53856667,-81.84813333,209.00,73.127
18,0,18,-696.147330774798,-3365.312225218464,2016-05-13T17:48:46Z,28.53886667,-81.84846667,215.00,73.172
19,0,19,-693.147330774798,-3362.312225218464,2016-05-13T17:48:49Z,28.53911667,-81.84880000,225.00,73.211
20,0,20,-690.147330774798,-3359.312225218464,2016-05-13T17:48:52Z,28.53931667,-81.84918333,232.00,73.247
21,0,21,-687.147330774798,-3356.312225218464,2016-05-13T17:48:55Z,28.53936667,-81.84961667,241.00,73.271
22,0,22,-684.147330774798,-3353.312225218464,2016-05-13T17:48:58Z,28.53931667,-81.85001667,248.00,73.283
23,0,23,-681.147330774798,-3350.312225218464,2016-05-13T17:49:01Z,28.53920000,-81.85038333,259.00,73.287
24,0,24,-678.147330774798,-3347.312225218464,2016-05-13T17:49:04Z,28.53898333,-81.85081667,263.00,73.284
25,0,25,-675.147330774798,-3344.312225218464,2016-05-13T17:49:07Z,28.53875000,-81.85121667,271.00,73.279
26,0,26,-672.147330774798,-3341.312225218464,2016-05-13T17:49:10Z,28.53848333,-81.85160000,278.00,73.269
27,0,27,-669.147330774798,-3338.312225218464,2016-05-13T17:49:13Z,28.53818333,-81.85193333,284.00,73.253
28,0,28,-666.147330774798,-3335.312225218464,2016-05-13T17:49:16Z,28.53785000,-81.85225000,290.00,73.234
29,0,29,-663.147330774798,-3332.312225218464,2016-05-13T17:49:19Z,28.53748333,-81.85251667,296.00,73.209
30,0,30,-660.147330774798,-3329.312225218464,2016-05-13T17:49:22Z,28.53711667,-81.85276667,302.00,73.184
31,0,31,-657.147330774798,-3326.312225218464,2016-05-13T17:49:25Z,28.53673333,-81.85298333,307.00,73.155
32,0,32,-654.147330774798,-3323.312225218464,2016-05-13T17:49:28Z,28.53635000,-81.85320000,314.00,73.127
33,0,33,-651.147330774798,-3320.312225218464,2016-05-13T17:49:31Z,28.53595000,-81.85341667,321.00,73.097
34,0,34,-648.147330774798,-3317.312225218464,2016-05-13T17:49:34Z,28.53553333,-81.85360000,327.00,73.064
35,0,35,-645.147330774798,-3314.312225218464,2016-05-13T17:49:37Z,28.53508333,-81.85380000,336.00,73.028
36,0,36,-642.147330774798,-3311.312225218464,2016-05-13T17:49:40Z,28.53465000,-81.85400000,345.00,72.994
37,0,37,-639.147330774798,-3308.312225218464,2016-05-13T17:49:43Z,28.53425000,-81.85421667,354.00,72.964
38,0,38,-636.147330774798,-3305.312225218464,2016-05-13T17:49:46Z,28.53385000,-81.85446667,361.00,72.936
39,0,39,-633.147330774798,-3302.312225218464,2016-05-13T17:49:49Z,28.53341667,-81.85470000,371.00,72.904
