fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,2016-05-13T17:23:36Z,28.53248333,-81.84396667,-2.00,-2111.16123372859,-6989.746526941929,1,1,72.347,
2,2016-05-13T17:24:07Z,28.53263333,-81.84410000,-2.00,-2080.16123372859,-6958.746526941929,2,1,72.368,
3,2016-05-13T17:24:37Z,28.53273333,-81.84426667,-2.00,-2050.16123372859,-6928.746526941929,3,1,72.385,
4,2016-05-13T17:25:08Z,28.53281667,-81.84416667,-1.00,-2019.16123372859,-6897.746526941929,4,1,72.389,
5,2016-05-13T17:25:39Z,28.53285000,-81.84431667,-2.00,-1988.16123372859,-6866.746526941929,5,1,72.399,
6,2016-05-13T17:26:09Z,28.53283333,-81.84436667,-2.00,-1958.16123372859,-6836.746526941929,6,1,72.4,
7,2016-05-13T17:26:40Z,28.53288333,-81.84441667,-2.00,-1927.16123372859,-6805.746526941929,7,1,72.407,
8,2016-05-13T17:27:11Z,28.53286667,-81.84445000,-1.00,-1896.16123372859,-6774.746526941929,8,1,72.406,
9,2016-05-13T17:27:42Z,28.53286667,-81.84446667,-1.00,-1865.16123372859,-6743.746526941929,9,1,72.407,
10,2016-05-13T17:28:12Z,28.53286667,-81.84450000,-1.00,-1835.16123372859,-6713.746526941929,10,1,72.409,
11,2016-05-13T17:28:43Z,28.53326667,-81.84791667,45.00,-1804.16123372859,-6682.746526941929,11,1,72.596,
12,2016-05-13T17:28:45Z,28.53328333,-81.84818333,51.00,-1802.16123372859,-6680.746526941929,12,1,72.609,
13,2016-05-13T17:28:47Z,28.53328333,-81.84841667,56.00,-1800.16123372859,-6678.746526941929,13,1,72.619,
14,2016-05-13T17:28:49Z,28.53330000,-81.84865000,64.00,-1798.16123372859,-6676.746526941929,14,1,72.631,
15,2016-05-13T17:28:51Z,28.53335000,-81.84886667,70.00,-1796.16123372859,-6674.746526941929,15,1,72.645,
16,2016-05-13T17:28:53Z,28.53340000,-81.84911667,76.00,-1794.16123372859,-6672.746526941929,16,1,72.661,
17,2016-05-13T17:28:55Z,28.53340000,-81.84935000,81.00,-1792.16123372859,-6670.746526941929,17,1,72.671,
18,2016-05-13T17:28:57Z,28.53340000,-81.84958333,90.00,-1790.16123372859,-6668.746526941929,18,1,72.682,
19,2016-05-13T17:28:59Z,28.53338333,-81.84980000,97.00,-1788.16123372859,-6666.746526941929,19,1,72.689,
20,2016-05-13T17:29:02Z,28.53338333,-81.85003333,100.00,-1785.16123372859,-6663.746526941929,20,1,72.7,
21,2016-05-13T17:29:04Z,28.53338333,-81.85028333,103.00,-1783.16123372859,-6661.746526941929,21,1,72.711,
22,2016-05-13T17:29:06Z,28.53340000,-81.85053333,108.00,-1781.16123372859,-6659.746526941929,22,1,72.723,
23,2016-05-13T17:29:08Z,28.53340000,-81.85076667,110.00,-1779.16123372859,-6657.746526941929,23,1,72.734,
24,2016-05-13T17:29:10Z,28.53338333,-81.85113333,109.00,-1777.16123372859,-6655.746526941929,24,1,72.748,
25,2016-05-13T17:29:12Z,28.53338333,-81.85138333,113.00,-1775.16123372859,-6653.746526941929,25,1,72.759,
26,2016-05-13T17:29:14Z,28.53338333,-81.85163333,114.00,-1773.16123372859,-6651.746526941929,26,1,72.77,
27,2016-05-13T17:29:16Z,28.53343333,-81.85190000,116.00,-1771.16123372859,-6649.746526941929,27,1,72.787,
28,2016-05-13T17:29:18Z,28.53351667,-81.85215000,120.00,-1769.16123372859,-6647.746526941929,28,1,72.806,
29,2016-05-13T17:29:20Z,28.53361667,-81.85238333,125.00,-1767.16123372859,-6645.746526941929,29,1,72.826,
30,2016-05-13T17:29:22Z,28.53370000,-81.85263333,128.00,-1765.16123372859,-6643.746526941929,30,1,72.846,
31,2016-05-13T17:29:24Z,28.53376667,-81.85290000,133.00,-1763.16123372859,-6641.746526941929,31,1,72.864,
32,2016-05-13T17:29:26Z,28.53386667,-81.85313333,141.00,-1761.16123372859,-6639.746526941929,32,1,72.885,
33,2016-05-13T17:29:28Z,28.53398333,-81.85335000,145.00,-1759.16123372859,-6637.746526941929,33,1,72.906,
34,2016-05-13T17:29:30Z,28.53413333,-81.85355000,150.00,-1757.16123372859,-6635.746526941929,34,1,72.93,
35,2016-05-13T17:29:32Z,28.53428333,-81.85375000,155.00,-1755.16123372859,-6633.746526941929,35,1,72.953,
36,2016-05-13T17:29:34Z,28.53445000,-81.85390000,163.00,-1753.16123372859,-6631.746526941929,36,1,72.976,
37,2016-05-13T17:29:36Z,28.53465000,-81.85406667,166.00,-1751.16123372859,-6629.746526941929,37,1,73.004,
38,2016-05-13T17:29:38Z,28.53486667,-81.85423333,170.00,-1749.16123372859,-6627.746526941929,38,1,73.033,
39,2016-05-13T17:29:40Z,28.53505000,-81.85441667,173.00,-1747.16123372859,-6625.746526941929,39,1,73.059,
