fixIdx,legIdx,tickLead,togo,area
1729,2,2293.162436515188,95.934,44021.38066129851
1730,2,2298.162436515188,95.85,37023.06591687022
1731,2,2303.162436515188,95.759,40158.90526813705
1732,2,2308.162436515188,95.662,42857.5838907343
1733,2,2313.162436515188,95.579,36716.83429429847
1734,2,2318.162436515188,95.498,35878.74943443808
1735,2,2323.162436515188,95.408,39915.50832948468
1736,2,2328.162436515188,95.327,35969.027048628035
1737,2,2333.162436515188,95.244,36904.54719119757
1738,2,2338.162436515188,95.163,36061.402099014704
1739,2,2343.162436515188,95.081,36553.352754933585
1740,2,2348.162436515188,94.997,37492.057647067864
1741,2,2353.162436515188,94.92,34411.72738508462
1742,2,2358.162436515188,94.84,35798.792316249004
1743,2,2363.162436515188,94.761,35396.578928935036
1744,2,2368.162436515188,94.679,36787.224741818995
1745,2,2373.162436515188,94.6,35485.99521287497
1746,2,2378.162436515188,94.532,30585.490020122383
1747,2,2383.162436515188,94.467,29276.995627029686
1748,2,2388.162436515188,94.393,33376.09847425825
1749,2,2393.162436515188,94.316,34774.069347889716
1750,2,2398.162436515188,94.227,40241.94988384098
1751,2,2403.162436515188,94.14,39382.8553850794
1752,2,2408.162436515188,94.061,35804.26771845006
1753,2,2413.162436515188,93.987,33580.48736977937
1754,2,2418.162436515188,93.901,39073.55853298837
1755,2,2423.162436515188,93.806,43210.23238974034
1756,2,2428.162436515188,93.708,44620.81620982901
1757,2,2433.162436515188,93.616,41932.654263714365
1758,2,2438.162436515188,93.523,42433.60105925407
1759,2,2443.162436515188,93.432,41565.29043199867
1760,2,2448.162436515188,93.339,42523.85441802678
1761,2,2453.162436515188,93.247,42110.77050692473
1762,2,2458.162436515188,93.161,39407.018338068716
1763,2,2463.162436515188,93.076,38992.21852859237
1764,2,2468.162436515188,92.99,39494.735624485926
1765,2,2473.162436515188,92.906,38619.08436106283
1766,2,2478.162436515188,92.811,43722.50485611714
1767,2,2483.162436515188,92.725,39621.57822063611
1768,2,2488.162436515188,92.641,38742.54032938916
1769,2,2493.162436515188,92.557,38785.21054109161
1770,2,2498.162436515188,92.468,41137.802928643185
1771,2,2503.162436515188,92.385,38405.518127802054
1772,2,2508.162436515188,92.307,36132.527864540694
1773,2,2513.162436515188,92.221,39882.40007533293
1774,2,2518.162436515188,92.132,41316.541169640084
1775,2,2523.162436515188,92.051,37642.61379062025
1776,2,2528.162436515188,91.966,39544.113701822
1777,2,2533.162436515188,91.885,37723.68021637087
1778,2,2538.162436515188,91.795,41958.87087052147
1779,2,2543.162436515188,91.704,42466.76651837096
1780,2,2548.162436515188,91.614,42041.16373833316
1781,2,2553.162436515188,91.522,43016.987949574795
1782,2,2558.162436515188,91.433,41654.54616296398
1783,2,2563.162436515188,91.342,42631.86330440361
1784,2,2568.162436515188,91.251,42672.492023123385
1785,2,2573.162436515188,91.162,41774.66687835137
1786,2,2578.162436515188,91.075,40875.78315106154
1787,2,2583.162436515188,90.993,38565.519916302364
1788,2,2588.162436515188,90.907,40487.660259380995
1789,2,2593.162436515188,90.825,38643.36886484481
1790,2,2598.162436515188,90.744,38211.40619028717
1791,2,2603.162436515188,90.657,41082.815415728925
1792,2,2608.162436515188,90.568,42067.11714261373
1793,2,2613.162436515188,90.476,43524.95897439333
1794,2,2618.162436515188,90.388,41670.757120770795
1795,2,2623.162436515188,90.293,45025.78315823953
1796,2,2628.162436515188,90.208,40322.80557604515
1797,2,2633.162436515188,90.123,40361.46930383076
1798,2,2638.162436515188,90.033,42775.27127215634
1799,2,2643.162436515188,89.95,39485.11729933823
1800,2,2648.162436515188,89.871,37619.42218223489
1801,2,2653.162436515188,89.785,40992.46335973254
1802,2,2658.162436515188,89.7,40553.52421802094
1803,2,2663.162436515188,89.627,34863.1159084696
1804,2,2668.162436515188,89.54,41590.05935588593
1805,2,2673.162436515188,89.455,40671.03037754687
1806,2,2678.162436515188,89.368,41665.782600492705
1807,2,2683.162436515188,89.279,42661.1638618548
1808,2,2688.162436515188,89.19,42698.07590753553
1809,2,2693.162436515188,89.107,39855.170984297154
1816,2,2716.162436515188,89.092,7260.261450368825
1817,2,2718.162436515188,89.083,4358.777329135008
1978,2,3046.162436515188,89.056,14651.28891751679
1979,2,3051.162436515188,88.968,47799.85246063649
1980,2,3056.162436515188,88.89,42397.90921343163
1981,2,3061.162436515188,88.799,49498.07518855392
1982,2,3066.162436515188,88.713,46808.13387304576
1983,2,3071.162436515188,88.623,49016.48956576128
1984,2,3076.162436515188,88.526,52859.0926482288
1985,2,3081.162436515188,88.428,53431.95374352808
1986,2,3086.162436515188,88.323,57275.64116573425
1987,2,3091.162436515188,88.219,56754.87988219505
1988,2,3096.162436515188,88.113,57870.96656409021
1989,2,3101.162436515188,88.013,54619.53352936429
1990,2,3106.162436515188,87.91,56283.87767486805
1991,2,3111.162436515188,87.806,56854.82594424865
1992,2,3116.162436515188,87.698,59065.08900388368
1993,2,3121.162436515188,87.597,55259.541100201415
1994,2,3126.162436515188,87.489,59113.505846841865
1995,2,3131.162436515188,87.387,55851.64654930118
1996,2,3136.162436515188,87.291,52590.583880219594
1997,2,3141.162436515188,87.182,59737.23568268354
1998,2,3146.162436515188,87.071,60853.3349785613
1999,2,3151.162436515188,86.969,55939.68766601465
2000,2,3156.162436515188,86.875,51575.91084567011
2001,2,3161.162436515188,86.786,48858.38606000135
2002,2,3166.162436515188,86.696,49434.497263039375
2003,2,3171.162436515188,86.601,52207.52899227276
2004,2,3176.162436515188,86.507,51682.99794366224
2005,2,3181.162436515188,86.421,47309.636972665256
2006,2,3186.162436515188,86.338,45686.37361871092
2007,2,3191.162436515188,86.25,48466.55814820554
2008,2,3196.162436515188,86.158,50696.045548632675
2009,2,3201.162436515188,86.074,46312.779136336
2010,2,3206.162436515188,85.991,45788.47219003494
2011,2,3211.162436515188,85.895,52987.57119003557
2012,2,3216.162436515188,85.811,46387.68853523317
2013,2,3221.162436515188,85.736,41443.556437266896
2014,2,3226.162436515188,85.656,44235.07458553595
2015,2,3231.162436515188,85.591,35966.24679479117
2016,2,3236.162436515188,85.537,29905.0922935357
2017,2,3241.162436515188,85.481,31040.638583811873
2018,2,3246.162436515188,85.416,36059.362424352585
2019,2,3251.162436515188,85.362,29982.259003493436
2020,2,3256.162436515188,85.294,37786.48866008244
2021,2,3261.162436515188,85.213,45040.13290859621
2022,2,3266.162436515188,85.136,42841.83787713927
2023,2,3271.162436515188,85.088,26727.857020482355
2024,2,3276.162436515188,85.058,16722.778017692108
2071,2,3403.162436515188,85.036,12734.865252488742
2072,2,3405.162436515188,85.008,16212.768357937439
2073,2,3410.162436515188,84.937,41147.34392442254
2074,2,3415.162436515188,84.862,43491.837491839826
2075,2,3420.162436515188,84.777,49316.39952327637
2076,2,3425.162436515188,84.696,47018.27684188839
2077,2,3430.162436515188,84.611,49363.793489317904
2078,2,3435.162436515188,84.52,52870.31368257753
2079,2,3440.162436515188,84.431,51728.48065923851
2080,2,3445.162436515188,84.344,50586.78424938994
2081,2,3450.162436515188,84.263,47119.444572608336
2082,2,3455.162436515188,84.182,47142.39176612465
2083,2,3460.162436515188,84.085,56476.421812399705
2084,2,3465.162436515188,83.975,64059.07189888134
2085,2,3470.162436515188,83.874,58828.79277546988
2086,2,3475.162436515188,83.766,62918.232932593965
2087,2,3480.162436515188,83.654,65256.66505359898
2088,2,3485.162436515188,83.546,62933.66921361076
2089,2,3490.162436515188,83.439,62360.11086738717
2090,2,3495.162436515188,83.337,59456.73947224418
2091,2,3500.162436515188,83.252,49562.527611618076
2092,2,3505.162436515188,83.16,53663.70040745289
2093,2,3510.162436515188,83.06,58345.920019752135
2094,2,3515.162436515188,82.957,60108.40238896806
2095,2,3520.162436515188,82.858,57785.87770665972
2096,2,3525.162436515188,82.766,53714.33831145529
2097,2,3530.162436515188,82.672,54898.16323819161
2098,2,3535.162436515188,82.578,54913.44570760522
2099,2,3540.162436515188,82.488,52592.44074712543
2100,2,3545.162436515188,82.402,50272.31773750022
2101,2,3550.162436515188,82.313,52044.08551002253
2102,2,3555.162436515188,82.216,56737.95009019343
2103,2,3560.162436515188,82.117,57920.165194299065
2104,2,3565.162436515188,82.014,60270.82861437551
2105,2,3570.162436515188,81.911,60279.60437278921
2106,2,3575.162436515188,81.811,58533.27444311063
2107,2,3580.162436515188,81.708,60298.73189002734
2108,2,3585.162436515188,81.619,52114.29044891493
2109,2,3590.162436515188,81.549,41005.973710887716
2110,2,3595.162436515188,81.455,55086.430633366705
2111,2,3600.162436515188,81.35,61543.06677507212
2112,2,3605.162436515188,81.242,63306.42165480483
2113,2,3610.162436515188,81.128,66824.75652913723
2114,2,3615.162436515188,81.016,65651.81258790463
2115,2,3620.162436515188,80.899,68580.55630628033
2116,2,3625.162436515188,80.777,71504.41497449554
2117,2,3630.162436515188,80.656,70909.38952628586
2118,2,3635.162436515188,80.531,73242.6159568217
2119,2,3640.162436515188,80.42,65033.544059473184
2120,2,3645.162436515188,80.324,56250.047106741076
2121,3,3650.162436515188,80.3,14071.288588868107
2130,3,3677.162436515188,80.229,41910.6758227644
2131,3,3682.162436515188,80.166,37207.82797230718
2132,3,3687.162436515188,80.141,14776.948717755966
