fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
26,,,,85332.22704617228,-6082.031788048782,1,0,89.823,0.0
69,,,,85463.22704617228,-5951.031788048782,30,1,89.781,0.0
70,,,,85466.22704617228,-5948.031788048782,31,1,89.726,0.0
71,,,,85469.22704617228,-5945.031788048782,32,1,89.67,0.0
72,,,,85472.22704617228,-5942.031788048782,33,1,89.61,0.0
73,,,,85475.22704617228,-5939.031788048782,34,1,89.55,0.0
74,,,,85478.22704617228,-5936.031788048782,35,1,89.491,0.0
75,,,,85481.22704617228,-5933.031788048782,36,1,89.436,0.0
76,,,,85484.22704617228,-5930.031788048782,37,1,89.387,0.0
77,,,,85487.22704617228,-5927.031788048782,38,1,89.339,0.0
78,,,,85490.22704617228,-5924.031788048782,39,1,89.303,0.0
79,,,,85493.22704617228,-5921.031788048782,40,1,89.28,0.0
80,,,,85496.22704617228,-5918.031788048782,41,1,89.265,0.0
81,,,,85499.22704617228,-5915.031788048782,42,1,89.262,0.0
90,,,,85526.22704617228,-5888.031788048782,51,1,89.247,0.0
91,,,,85529.22704617228,-5885.031788048782,52,1,89.22,0.0
92,,,,85532.22704617228,-5882.031788048782,53,1,89.195,0.0
93,,,,85535.22704617228,-5879.031788048782,54,1,89.181,0.0
94,,,,85538.22704617228,-5876.031788048782,55,1,89.175,0.0
99,,,,85553.22704617228,-5861.031788048782,60,1,89.163,0.0
100,,,,85556.22704617228,-5858.031788048782,61,1,89.16,0.0
106,,,,85574.22704617228,-5840.031788048782,67,1,89.125,0.0
107,,,,85577.22704617228,-5837.031788048782,68,1,89.109,0.0
113,,,,85596.22704617228,-5818.031788048782,74,1,89.107,0.0
114,,,,85599.22704617228,-5815.031788048782,75,1,89.093,0.0
121,,,,85620.22704617228,-5794.031788048782,82,1,89.091,0.0
122,,,,85623.22704617228,-5791.031788048782,83,1,89.074,0.0
127,,,,85638.22704617228,-5776.031788048782,88,1,89.043,0.0
128,,,,85641.22704617228,-5773.031788048782,89,1,89.017,0.0
158,,,,85732.22704617228,-5682.031788048782,119,1,89.016,0.0
159,,,,85735.22704617228,-5679.031788048782,120,1,88.992,0.0
164,,,,85750.22704617228,-5664.031788048782,125,1,88.981,0.0
165,,,,85753.22704617228,-5661.031788048782,126,1,88.956,0.0
172,,,,85774.22704617228,-5640.031788048782,133,1,88.954,0.0
190,,,,85828.22704617228,-5586.031788048782,151,1,88.918,0.0
191,,,,85831.22704617228,-5583.031788048782,152,1,88.877,0.0
192,,,,85834.22704617228,-5580.031788048782,153,1,88.839,0.0
193,,,,85837.22704617228,-5577.031788048782,154,1,88.795,0.0
194,,,,85840.22704617228,-5574.031788048782,155,1,88.754,0.0
195,,,,85843.22704617228,-5571.031788048782,156,1,88.725,0.0
196,,,,85846.22704617228,-5568.031788048782,157,1,88.706,0.0
197,,,,85850.22704617228,-5564.031788048782,158,1,88.661,0.0
198,,,,85853.22704617228,-5561.031788048782,159,1,88.616,0.0
199,,,,85856.22704617228,-5558.031788048782,160,1,88.589,0.0
200,,,,85859.22704617228,-5555.031788048782,161,1,88.577,0.0
214,,,,85901.22704617228,-5513.031788048782,175,1,88.541,0.0
215,,,,85904.22704617228,-5510.031788048782,176,1,88.498,0.0
216,,,,85907.22704617228,-5507.031788048782,177,1,88.463,0.0
217,,,,85910.22704617228,-5504.031788048782,178,1,88.441,0.0
218,,,,85913.22704617228,-5501.031788048782,179,1,88.422,0.0
219,,,,85916.22704617228,-5498.031788048782,180,1,88.411,0.0
220,,,,85919.22704617228,-5495.031788048782,181,1,88.408,0.0
221,,,,85922.22704617228,-5492.031788048782,182,1,88.399,0.0
222,,,,85925.22704617228,-5489.031788048782,183,1,88.364,0.0
223,,,,85928.22704617228,-5486.031788048782,184,1,88.324,0.0
224,,,,85931.22704617228,-5483.031788048782,185,1,88.295,0.0
225,,,,85934.22704617228,-5480.031788048782,186,1,88.289,0.0
237,,,,85970.22704617228,-5444.031788048782,198,1,88.248,0.0
238,,,,85973.22704617228,-5441.031788048782,199,1,88.205,0.0
239,,,,85977.22704617228,-5437.031788048782,200,1,88.17,0.0
240,,,,85980.22704617228,-5434.031788048782,201,1,88.165,0.0
463,,,,86654.22704617228,-4760.031788048782,424,1,88.152,0.0
464,,,,86657.22704617228,-4757.031788048782,425,1,88.108,0.0
465,,,,86660.22704617228,-4754.031788048782,426,1,88.081,0.0
466,,,,86663.22704617228,-4751.031788048782,427,1,88.079,0.0
483,,,,86715.22704617228,-4699.031788048782,444,1,88.073,0.0
493,,,,86745.22704617228,-4669.031788048782,454,1,88.04,0.0
494,,,,86748.22704617228,-4666.031788048782,455,1,88.032,0.0
500,,,,86766.22704617228,-4648.031788048782,461,1,88.007,0.0
501,,,,86769.22704617228,-4645.031788048782,462,1,87.96,0.0
502,,,,86772.22704617228,-4642.031788048782,463,1,87.915,0.0
503,,,,86775.22704617228,-4639.031788048782,464,1,87.892,0.0
529,,,,86854.22704617228,-4560.031788048782,490,1,87.882,0.0
530,,,,86857.22704617228,-4557.031788048782,491,1,87.833,0.0
531,,,,86860.22704617228,-4554.031788048782,492,1,87.789,0.0
532,,,,86863.22704617228,-4551.031788048782,493,1,87.75,0.0
533,,,,86866.22704617228,-4548.031788048782,494,1,87.713,0.0
534,,,,86869.22704617228,-4545.031788048782,495,1,87.676,0.0
535,,,,86872.22704617228,-4542.031788048782,496,1,87.633,0.0
536,,,,86875.22704617228,-4539.031788048782,497,1,87.592,0.0
537,,,,86878.22704617228,-4536.031788048782,498,1,87.546,0.0
538,,,,86881.22704617228,-4533.031788048782,499,1,87.492,0.0
539,,,,86884.22704617228,-4530.031788048782,500,1,87.439,0.0
540,,,,86887.22704617228,-4527.031788048782,501,1,87.382,0.0
541,,,,86890.22704617228,-4524.031788048782,502,1,87.322,0.0
542,,,,86893.22704617228,-4521.031788048782,503,1,87.262,0.0
543,,,,86896.22704617228,-4518.031788048782,504,1,87.209,0.0
544,,,,86899.22704617228,-4515.031788048782,505,1,87.165,0.0
545,,,,86902.22704617228,-4512.031788048782,506,1,87.118,0.0
546,,,,86905.22704617228,-4509.031788048782,507,1,87.07,0.0
547,,,,86908.22704617228,-4506.031788048782,508,1,87.026,0.0
548,,,,86911.22704617228,-4503.031788048782,509,1,86.977,0.0
549,,,,86914.22704617228,-4500.031788048782,510,1,86.921,0.0
550,,,,86917.22704617228,-4497.031788048782,511,1,86.867,0.0
551,,,,86920.22704617228,-4494.031788048782,512,1,86.818,0.0
552,,,,86923.22704617228,-4491.031788048782,513,1,86.772,0.0
553,,,,86926.22704617228,-4488.031788048782,514,1,86.723,0.0
554,,,,86929.22704617228,-4485.031788048782,515,1,86.673,0.0
555,,,,86932.22704617228,-4482.031788048782,516,1,86.621,0.0
556,,,,86935.22704617228,-4479.031788048782,517,1,86.57,0.0
557,,,,86938.22704617228,-4476.031788048782,518,1,86.519,0.0
558,,,,86941.22704617228,-4473.031788048782,519,1,86.47,0.0
559,,,,86944.22704617228,-4470.031788048782,520,1,86.422,0.0
560,,,,86947.22704617228,-4467.031788048782,521,1,86.372,0.0
561,,,,86950.22704617228,-4464.031788048782,522,1,86.318,0.0
562,,,,86953.22704617228,-4461.031788048782,523,1,86.262,0.0
563,,,,86956.22704617228,-4458.031788048782,524,1,86.208,0.0
564,,,,86960.22704617228,-4454.031788048782,525,1,86.142,0.0
565,,,,86963.22704617228,-4451.031788048782,526,1,86.086,0.0
566,,,,86966.22704617228,-4448.031788048782,527,1,86.026,0.0
567,,,,86969.22704617228,-4445.031788048782,528,1,85.966,0.0
568,,,,86972.22704617228,-4442.031788048782,529,1,85.904,0.0
569,,,,86975.22704617228,-4439.031788048782,530,1,85.841,0.0
570,,,,86978.22704617228,-4436.031788048782,531,1,85.78,0.0
571,,,,86981.22704617228,-4433.031788048782,1,2,85.727,790648.1332713764
572,,,,86984.22704617228,-4430.031788048782,2,2,85.675,775282.0651768371
573,,,,86987.22704617228,-4427.031788048782,3,2,85.619,834421.843900195
574,,,,86990.22704617228,-4424.031788048782,4,2,85.555,952989.7679615907
575,,,,86993.22704617228,-4421.031788048782,5,2,85.489,982058.1887744797
576,,,,86996.22704617228,-4418.031788048782,6,2,85.425,951607.8815597538
577,,,,86999.22704617228,-4415.031788048782,7,2,85.359,980633.0154623672
578,,,,87002.22704617228,-4412.031788048782,8,2,85.29,1024432.1699807834
579,,,,87005.22704617228,-4409.031788048782,9,2,85.221,1023639.0305520607
580,,,,87008.22704617228,-4406.031788048782,10,2,85.151,1037663.596081842
581,,,,87011.22704617228,-4403.031788048782,11,2,85.081,1036846.664176579
582,,,,87014.22704617228,-4400.031788048782,12,2,85.018,932465.0793986275
583,,,,87017.22704617228,-4397.031788048782,13,2,84.959,872664.7048959694
584,,,,87020.22704617228,-4394.031788048782,14,2,84.9,872088.956004274
585,,,,87023.22704617228,-4391.031788048782,15,2,84.838,915811.2077666925
586,,,,87026.22704617228,-4388.031788048782,16,2,84.781,841394.1915044698
587,,,,87029.22704617228,-4385.031788048782,17,2,84.73,752372.9765970377
588,,,,87032.22704617228,-4382.031788048782,18,2,84.675,810903.1932517254
589,,,,87035.22704617228,-4379.031788048782,19,2,84.617,854593.3241117274
590,,,,87038.22704617228,-4376.031788048782,20,2,84.56,839317.3698084783
591,,,,87041.22704617228,-4373.031788048782,21,2,84.506,794648.4529565909
592,,,,87044.22704617228,-4370.031788048782,22,2,84.452,794168.1997164576
593,,,,87047.22704617228,-4367.031788048782,23,2,84.392,881844.1202030681
594,,,,87050.22704617228,-4364.031788048782,24,2,84.327,954656.7717051707
595,,,,87053.22704617228,-4361.031788048782,25,2,84.271,821911.9985176726
596,,,,87056.22704617228,-4358.031788048782,26,2,84.223,704085.6921560788
597,,,,87059.22704617228,-4355.031788048782,27,2,84.196,395885.5549170258
602,,,,87074.22704617228,-4340.031788048782,32,2,84.169,395826.8103889925
603,,,,87077.22704617228,-4337.031788048782,33,2,84.131,556893.6978510419
609,,,,87096.22704617228,-4318.031788048782,39,2,84.103,410271.30650488584
625,,,,87144.22704617228,-4270.031788048782,55,2,84.098,73288.73066689946
626,,,,87147.22704617228,-4267.031788048782,56,2,84.065,483612.9916782788
627,,,,87150.22704617228,-4264.031788048782,57,2,84.037,410203.569073515
632,,,,87165.22704617228,-4249.031788048782,62,2,84.013,351554.79372263537
633,,,,87168.22704617228,-4246.031788048782,63,2,84.011,29292.70836255197
639,,,,87186.22704617228,-4228.031788048782,69,2,84.009,29298.05973652745
640,,,,87189.22704617228,-4225.031788048782,70,2,83.968,600477.1764528835
641,,,,87192.22704617228,-4222.031788048782,71,2,83.95,263540.5988605148
647,,,,87211.22704617228,-4203.031788048782,77,2,83.923,395291.0785839111
648,,,,87214.22704617228,-4200.031788048782,78,2,83.918,73190.61540821644
653,,,,87229.22704617228,-4185.031788048782,83,2,83.903,219583.4416817435
654,,,,87232.22704617228,-4182.031788048782,84,2,83.885,263457.3764092268
660,,,,87250.22704617228,-4164.031788048782,90,2,83.884,14637.88334137917
667,,,,87271.22704617228,-4143.031788048782,97,2,83.869,219600.1522601564
668,,,,87274.22704617228,-4140.031788048782,98,2,83.825,643956.026132311
669,,,,87277.22704617228,-4137.031788048782,99,2,83.777,702136.2147548698
670,,,,87280.22704617228,-4134.031788048782,100,2,83.722,804064.2912504743
671,,,,87283.22704617228,-4131.031788048782,101,2,83.67,759746.7249689596
672,,,,87286.22704617228,-4128.031788048782,102,2,83.617,773898.1063852303
673,,,,87289.22704617228,-4125.031788048782,103,2,83.564,773434.3141408924
674,,,,87292.22704617228,-4122.031788048782,104,2,83.509,802129.583710575
675,,,,87295.22704617228,-4119.031788048782,105,2,83.457,757917.4137076401
676,,,,87298.22704617228,-4116.031788048782,106,2,83.405,757471.3515915674
677,,,,87301.22704617228,-4113.031788048782,107,2,83.35,800685.3863847445
678,,,,87304.22704617228,-4110.031788048782,108,2,83.294,814728.6342653726
679,,,,87307.22704617228,-4107.031788048782,109,2,83.235,857811.927553513
680,,,,87310.22704617228,-4104.031788048782,110,2,83.179,813660.0709250179
681,,,,87313.22704617228,-4101.031788048782,111,2,83.126,769593.1898673855
682,,,,87316.22704617228,-4098.031788048782,112,2,83.073,769129.0897990463
683,,,,87320.22704617228,-4094.031788048782,113,2,83.008,942644.990823564
684,,,,87323.22704617228,-4091.031788048782,114,2,82.955,768098.5107039466
685,,,,87326.22704617228,-4088.031788048782,115,2,82.903,753155.1750019415
686,,,,87329.22704617228,-4085.031788048782,116,2,82.85,767179.3126411284
687,,,,87332.22704617228,-4082.031788048782,117,2,82.797,766715.0349163774
