fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
29,,,,-1074.259604968974,-9436.86072280025,1,0,100.52,0.0
39,,,,-974.259604968974,-9336.86072280025,7,1,100.517,0.0
130,,,,-63.259604968974,-8425.86072280025,98,1,100.415,0.0
131,,,,-53.259604968974,-8415.86072280025,99,1,100.272,0.0
132,,,,-43.259604968974,-8405.86072280025,100,1,100.129,0.0
133,,,,-33.259604968974,-8395.86072280025,101,1,99.985,0.0
134,,,,-23.259604968974,-8385.86072280025,102,1,99.858,0.0
135,,,,-13.259604968974,-8375.86072280025,103,1,99.74,0.0
136,,,,-3.259604968974,-8365.86072280025,104,1,99.624,0.0
137,,,,6.740395031026,-8355.86072280025,105,1,99.581,0.0
138,,,,16.740395031026,-8345.86072280025,106,1,99.57,0.0
141,,,,46.740395031026,-8315.86072280025,109,1,99.464,0.0
142,,,,56.740395031026,-8305.86072280025,110,1,99.415,0.0
143,,,,66.740395031026,-8295.86072280025,111,1,99.412,0.0
150,,,,136.740395031026,-8225.86072280025,118,1,99.375,0.0
154,,,,176.740395031026,-8185.86072280025,122,1,99.333,0.0
161,,,,246.740395031026,-8115.86072280025,129,1,99.31,0.0
163,,,,266.740395031026,-8095.86072280025,131,1,99.161,0.0
164,,,,276.740395031026,-8085.86072280025,132,1,98.998,0.0
165,,,,286.740395031026,-8075.86072280025,133,1,98.842,0.0
166,,,,296.740395031026,-8065.86072280025,134,1,98.684,0.0
167,,,,306.740395031026,-8055.86072280025,135,1,98.51,0.0
168,,,,316.740395031026,-8045.86072280025,136,1,98.347,0.0
169,,,,326.740395031026,-8035.86072280025,137,1,98.184,0.0
170,,,,336.740395031026,-8025.86072280025,138,1,98.014,0.0
171,,,,346.740395031026,-8015.86072280025,139,1,97.86,0.0
172,,,,356.740395031026,-8005.86072280025,140,1,97.712,0.0
173,,,,366.740395031026,-7995.86072280025,141,1,97.564,0.0
174,,,,376.740395031026,-7985.86072280025,142,1,97.414,0.0
175,,,,386.740395031026,-7975.86072280025,143,1,97.287,0.0
176,,,,396.740395031026,-7965.86072280025,144,1,97.154,0.0
177,,,,406.740395031026,-7955.86072280025,145,1,97.012,0.0
178,,,,416.740395031026,-7945.86072280025,146,1,96.86,0.0
179,,,,426.740395031026,-7935.86072280025,147,1,96.704,0.0
180,,,,436.740395031026,-7925.86072280025,148,1,96.561,0.0
181,,,,446.740395031026,-7915.86072280025,149,1,96.452,0.0
182,,,,456.740395031026,-7905.86072280025,150,1,96.428,0.0
340,,,,2020.740395031026,-6341.86072280025,308,1,96.422,0.0
341,,,,2030.740395031026,-6331.86072280025,309,1,96.301,0.0
342,,,,2040.740395031026,-6321.86072280025,310,1,96.194,0.0
343,,,,2050.740395031026,-6311.86072280025,311,1,96.064,0.0
344,,,,2060.740395031026,-6301.86072280025,312,1,95.937,0.0
345,,,,2070.740395031026,-6291.86072280025,313,1,95.833,0.0
346,,,,2080.740395031026,-6281.86072280025,314,1,95.722,0.0
347,,,,2090.740395031026,-6271.86072280025,315,1,95.621,0.0
367,,,,2280.740395031026,-6081.86072280025,4,2,95.497,54050.427309372826
368,,,,2290.740395031026,-6071.86072280025,5,2,95.342,67760.20396833602
369,,,,2300.740395031026,-6061.86072280025,6,2,95.188,67507.45038964866
