fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
3,1,1,-2615.147330774798,-5284.312225218464,,,,6.0,72.357
55,1,53,-1921.147330774798,-4590.312225218464,,,,888.0,72.283
202,1,200,-420.147330774798,-3089.312225218464,,,,1376.0,72.211
203,1,201,-410.147330774798,-3079.312225218464,,,,1360.0,71.954
204,1,202,-400.147330774798,-3069.312225218464,,,,1351.0,71.705
205,1,203,-390.147330774798,-3059.312225218464,,,,1333.0,71.454
206,1,204,-380.147330774798,-3049.312225218464,,,,1315.0,71.211
207,1,205,-369.147330774798,-3038.312225218464,,,,1302.0,70.96
208,1,206,-359.147330774798,-3028.312225218464,,,,1307.0,70.741
209,1,207,-349.147330774798,-3018.312225218464,,,,1324.0,70.56
211,1,209,-329.147330774798,-2998.312225218464,,,,1349.0,70.512
212,1,210,-318.147330774798,-2987.312225218464,,,,1354.0,70.474
214,1,212,-298.147330774798,-2967.312225218464,,,,1384.0,70.439
216,1,214,-278.147330774798,-2947.312225218464,,,,1405.0,70.433
218,1,216,-257.147330774798,-2926.312225218464,,,,1425.0,70.391
221,1,219,-227.147330774798,-2896.312225218464,,,,1444.0,70.326
225,1,223,-186.147330774798,-2855.312225218464,,,,1405.0,70.214
226,1,224,-176.147330774798,-2845.312225218464,,,,1406.0,70.189
228,1,226,-155.147330774798,-2824.312225218464,,,,1415.0,70.069
229,1,227,-145.147330774798,-2814.312225218464,,,,1415.0,70.009
231,1,229,-125.147330774798,-2794.312225218464,,,,1419.0,69.925
232,1,230,-114.147330774798,-2783.312225218464,,,,1415.0,69.838
235,1,233,-84.147330774798,-2753.312225218464,,,,1404.0,69.765
238,1,236,-53.147330774798,-2722.312225218464,,,,1385.0,69.735
239,1,237,-43.147330774798,-2712.312225218464,,,,1380.0,69.695
247,2,2,20.852669225202,-2648.312225218464,,,,1292.0,69.486
248,2,3,31.852669225202,-2637.312225218464,,,,1262.0,69.225
249,2,4,41.852669225202,-2627.312225218464,,,,1237.0,68.991
250,2,5,51.852669225202,-2617.312225218464,,,,1209.0,68.75
251,2,6,61.852669225202,-2607.312225218464,,,,1187.0,68.541
252,2,7,71.852669225202,-2597.312225218464,,,,1160.0,68.331
253,2,8,82.852669225202,-2586.312225218464,,,,1147.0,68.097
254,2,9,92.852669225202,-2576.312225218464,,,,1135.0,67.923
255,2,10,102.852669225202,-2566.312225218464,,,,1126.0,67.748
256,2,11,112.852669225202,-2556.312225218464,,,,1110.0,67.571
257,2,12,123.852669225202,-2545.312225218464,,,,1110.0,67.38
258,2,13,133.852669225202,-2535.312225218464,,,,1106.0,67.214
259,2,14,143.852669225202,-2525.312225218464,,,,1094.0,67.078
