fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
10,1,1,-1695.508644566053,-4385.312225218464,,,,-2.0,72.424
11,1,2,-1665.508644566053,-4355.312225218464,,,,108.0,72.24
12,1,3,-1662.508644566053,-4352.312225218464,,,,115.0,72.188
13,1,4,-1659.508644566053,-4349.312225218464,,,,125.0,72.136
14,1,5,-1656.508644566053,-4346.312225218464,,,,137.0,72.086
15,1,6,-1653.508644566053,-4343.312225218464,,,,156.0,72.04
16,1,7,-1650.508644566053,-4340.312225218464,,,,176.0,71.994
17,1,8,-1647.508644566053,-4337.312225218464,,,,184.0,71.946
18,1,9,-1644.508644566053,-4334.312225218464,,,,200.0,71.892
19,1,10,-1641.508644566053,-4331.312225218464,,,,216.0,71.841
20,1,11,-1638.508644566053,-4328.312225218464,,,,236.0,71.797
21,1,12,-1635.508644566053,-4325.312225218464,,,,251.0,71.761
22,1,13,-1632.508644566053,-4322.312225218464,,,,267.0,71.735
23,1,14,-1629.508644566053,-4319.312225218464,,,,287.0,71.726
459,1,450,-319.508644566053,-3009.312225218464,,,,1365.0,71.72
460,1,451,-316.508644566053,-3006.312225218464,,,,1361.0,71.659
461,1,452,-313.508644566053,-3003.312225218464,,,,1352.0,71.595
462,1,453,-310.508644566053,-3000.312225218464,,,,1359.0,71.528
463,1,454,-307.508644566053,-2997.312225218464,,,,1360.0,71.475
464,1,455,-304.508644566053,-2994.312225218464,,,,1357.0,71.424
465,1,456,-301.508644566053,-2991.312225218464,,,,1345.0,71.372
466,1,457,-298.508644566053,-2988.312225218464,,,,1346.0,71.307
467,1,458,-295.508644566053,-2985.312225218464,,,,1339.0,71.25
468,1,459,-292.508644566053,-2982.312225218464,,,,1329.0,71.193
469,1,460,-289.508644566053,-2979.312225218464,,,,1328.0,71.137
470,1,461,-286.508644566053,-2976.312225218464,,,,1324.0,71.086
471,1,462,-283.508644566053,-2973.312225218464,,,,1321.0,71.037
472,1,463,-280.508644566053,-2970.312225218464,,,,1318.0,70.985
473,1,464,-277.508644566053,-2967.312225218464,,,,1317.0,70.936
474,1,465,-274.508644566053,-2964.312225218464,,,,1312.0,70.888
475,1,466,-271.508644566053,-2961.312225218464,,,,1309.0,70.841
476,1,467,-268.508644566053,-2958.312225218464,,,,1305.0,70.803
477,1,468,-265.508644566053,-2955.312225218464,,,,1303.0,70.758
478,1,469,-262.508644566053,-2952.312225218464,,,,1302.0,70.715
479,1,470,-259.508644566053,-2949.312225218464,,,,1294.0,70.679
480,1,471,-256.508644566053,-2946.312225218464,,,,1293.0,70.642
481,1,472,-253.508644566053,-2943.312225218464,,,,1292.0,70.599
482,1,473,-250.508644566053,-2940.312225218464,,,,1291.0,70.563
483,1,474,-247.508644566053,-2937.312225218464,,,,1291.0,70.534
484,1,475,-244.508644566053,-2934.312225218464,,,,1288.0,70.498
485,1,476,-241.508644566053,-2931.312225218464,,,,1291.0,70.448
486,1,477,-238.508644566053,-2928.312225218464,,,,1294.0,70.394
487,1,478,-235.508644566053,-2925.312225218464,,,,1295.0,70.345
488,1,479,-232.508644566053,-2922.312225218464,,,,1300.0,70.311
494,1,485,-214.508644566053,-2904.312225218464,,,,1314.0,70.293
495,1,486,-211.508644566053,-2901.312225218464,,,,1315.0,70.241
496,1,487,-208.508644566053,-2898.312225218464,,,,1313.0,70.209
505,1,496,-181.508644566053,-2871.312225218464,,,,1322.0,70.175
514,1,505,-154.508644566053,-2844.312225218464,,,,1339.0,70.156
515,1,506,-151.508644566053,-2841.312225218464,,,,1341.0,70.106
516,1,507,-148.508644566053,-2838.312225218464,,,,1343.0,70.067
517,1,508,-145.508644566053,-2835.312225218464,,,,1342.0,70.059
525,1,516,-121.508644566053,-2811.312225218464,,,,1351.0,70.057
526,1,517,-118.508644566053,-2808.312225218464,,,,1356.0,70.029
533,1,524,-97.508644566053,-2787.312225218464,,,,1347.0,70.001
534,1,525,-94.508644566053,-2784.312225218464,,,,1348.0,69.951
535,1,526,-91.508644566053,-2781.312225218464,,,,1346.0,69.912
536,1,527,-88.508644566053,-2778.312225218464,,,,1346.0,69.9
543,1,534,-67.508644566053,-2757.312225218464,,,,1340.0,69.861
544,1,535,-64.508644566053,-2754.312225218464,,,,1341.0,69.822
545,1,536,-61.508644566053,-2751.312225218464,,,,1339.0,69.808
546,1,537,-58.508644566053,-2748.312225218464,,,,1339.0,69.806
557,1,548,-24.508644566053,-2714.312225218464,,,,1316.0,69.797
558,1,549,-21.508644566053,-2711.312225218464,,,,1314.0,69.758
559,1,550,-18.508644566053,-2708.312225218464,,,,1312.0,69.738
580,2,4,42.491355433947,-2647.312225218464,,,,1244.0,69.716
581,2,5,45.491355433947,-2644.312225218464,,,,1241.0,69.67
582,2,6,48.491355433947,-2641.312225218464,,,,1237.0,69.619
583,2,7,51.491355433947,-2638.312225218464,,,,1238.0,69.565
584,2,8,54.491355433947,-2635.312225218464,,,,1235.0,69.511
585,2,9,57.491355433947,-2632.312225218464,,,,1235.0,69.461
586,2,10,60.491355433947,-2629.312225218464,,,,1229.0,69.42
587,2,11,63.491355433947,-2626.312225218464,,,,1227.0,69.371
588,2,12,66.491355433947,-2623.312225218464,,,,1227.0,69.326
589,2,13,69.491355433947,-2620.312225218464,,,,1219.0,69.276
590,2,14,72.491355433947,-2617.312225218464,,,,1218.0,69.223
591,2,15,75.491355433947,-2614.312225218464,,,,1212.0,69.167
592,2,16,78.491355433947,-2611.312225218464,,,,1206.0,69.108
593,2,17,81.491355433947,-2608.312225218464,,,,1199.0,69.048
594,2,18,84.491355433947,-2605.312225218464,,,,1191.0,68.991
595,2,19,87.491355433947,-2602.312225218464,,,,1180.0,68.932
596,2,20,90.491355433947,-2599.312225218464,,,,1175.0,68.872
597,2,21,93.491355433947,-2596.312225218464,,,,1168.0,68.82
598,2,22,96.491355433947,-2593.312225218464,,,,1158.0,68.767
599,2,23,99.491355433947,-2590.312225218464,,,,1153.0,68.711
600,2,24,102.491355433947,-2587.312225218464,,,,1151.0,68.656
601,2,25,105.491355433947,-2584.312225218464,,,,1142.0,68.607
602,2,26,108.491355433947,-2581.312225218464,,,,1137.0,68.553
603,2,27,111.491355433947,-2578.312225218464,,,,1133.0,68.5
604,2,28,114.491355433947,-2575.312225218464,,,,1124.0,68.449
605,2,29,117.491355433947,-2572.312225218464,,,,1114.0,68.394
606,2,30,120.491355433947,-2569.312225218464,,,,1109.0,68.334
607,2,31,123.491355433947,-2566.312225218464,,,,1105.0,68.275
608,2,32,126.491355433947,-2563.312225218464,,,,1099.0,68.221
609,2,33,129.491355433947,-2560.312225218464,,,,1092.0,68.167
610,2,34,132.491355433947,-2557.312225218464,,,,1088.0,68.111
611,2,35,135.491355433947,-2554.312225218464,,,,1086.0,68.061
612,2,36,138.491355433947,-2551.312225218464,,,,1083.0,68.012
613,2,37,141.491355433947,-2548.312225218464,,,,1080.0,67.961
614,2,38,144.491355433947,-2545.312225218464,,,,1077.0,67.911
615,2,39,147.491355433947,-2542.312225218464,,,,1073.0,67.859
616,2,40,150.491355433947,-2539.312225218464,,,,1069.0,67.809
617,2,41,153.491355433947,-2536.312225218464,,,,1071.0,67.762
618,2,42,156.491355433947,-2533.312225218464,,,,1075.0,67.722
619,2,43,159.491355433947,-2530.312225218464,,,,1076.0,67.689
620,2,44,162.491355433947,-2527.312225218464,,,,1075.0,67.665
621,2,45,165.491355433947,-2524.312225218464,,,,1074.0,67.64
622,2,46,168.491355433947,-2521.312225218464,,,,1072.0,67.608
623,2,47,171.491355433947,-2518.312225218464,,,,1064.0,67.559
624,2,48,174.491355433947,-2515.312225218464,,,,1062.0,67.502
625,2,49,177.491355433947,-2512.312225218464,,,,1058.0,67.444
626,2,50,180.491355433947,-2509.312225218464,,,,1050.0,67.386
627,2,51,183.491355433947,-2506.312225218464,,,,1047.0,67.326
628,2,52,186.491355433947,-2503.312225218464,,,,1054.0,67.271
629,2,53,189.491355433947,-2500.312225218464,,,,1046.0,67.228
630,2,54,192.491355433947,-2497.312225218464,,,,1038.0,67.178
631,2,55,195.491355433947,-2494.312225218464,,,,1037.0,67.131
632,2,56,198.491355433947,-2491.312225218464,,,,1030.0,67.082
633,2,57,201.491355433947,-2488.312225218464,,,,1035.0,67.025
634,2,58,204.491355433947,-2485.312225218464,,,,1041.0,66.978
635,2,59,207.491355433947,-2482.312225218464,,,,1047.0,66.928
636,2,60,210.491355433947,-2479.312225218464,,,,1057.0,66.878
637,2,61,213.491355433947,-2476.312225218464,,,,1059.0,66.87
640,2,64,222.491355433947,-2467.312225218464,,,,1078.0,66.844
641,2,65,225.491355433947,-2464.312225218464,,,,1078.0,66.825
644,2,68,234.491355433947,-2455.312225218464,,,,1095.0,66.823
645,2,69,237.491355433947,-2452.312225218464,,,,1098.0,66.785
650,2,74,252.491355433947,-2437.312225218464,,,,1111.0,66.769
654,2,78,264.491355433947,-2425.312225218464,,,,1129.0,66.765
657,2,81,273.491355433947,-2416.312225218464,,,,1144.0,66.754
661,2,85,285.491355433947,-2404.312225218464,,,,1160.0,66.723
665,2,89,297.491355433947,-2392.312225218464,,,,1178.0,66.697
673,2,97,321.491355433947,-2368.312225218464,,,,1203.0,66.675
674,2,98,324.491355433947,-2365.312225218464,,,,1203.0,66.665
679,2,103,339.491355433947,-2350.312225218464,,,,1221.0,66.628
680,2,104,342.491355433947,-2347.312225218464,,,,1214.0,66.612
692,2,116,378.491355433947,-2311.312225218464,,,,1259.0,66.601
697,2,121,393.491355433947,-2296.312225218464,,,,1266.0,66.556
698,2,122,396.491355433947,-2293.312225218464,,,,1275.0,66.533
707,2,131,423.491355433947,-2266.312225218464,,,,1282.0,66.517
