fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,-26.0,83914.2097135448,-7464.031788618974,1,1,89.856,0.0
2,,,,-25.0,83945.2097135448,-7433.031788618974,2,1,89.836,0.0
3,,,,-25.0,83975.2097135448,-7403.031788618974,3,1,89.824,0.0
4,,,,-25.0,84006.2097135448,-7372.031788618974,4,1,89.815,0.0
7,,,,-23.0,84097.2097135448,-7281.031788618974,7,1,89.812,0.0
33,,,,470.0,84332.2097135448,-7046.031788618974,33,1,89.743,0.0
34,,,,492.0,84337.2097135448,-7041.031788618974,34,1,89.668,0.0
35,,,,526.0,84342.2097135448,-7036.031788618974,35,1,89.599,0.0
36,,,,553.0,84347.2097135448,-7031.031788618974,36,1,89.538,0.0
37,,,,584.0,84352.2097135448,-7026.031788618974,37,1,89.488,0.0
38,,,,606.0,84357.2097135448,-7021.031788618974,38,1,89.46,0.0
81,,,,615.0,84577.2097135448,-6801.031788618974,81,1,89.418,0.0
82,,,,611.0,84582.2097135448,-6796.031788618974,82,1,89.389,0.0
86,,,,601.0,84602.2097135448,-6776.031788618974,86,1,89.322,0.0
91,,,,586.0,84628.2097135448,-6750.031788618974,91,1,89.272,0.0
97,,,,569.0,84653.2097135448,-6725.031788618974,97,1,89.27,0.0
98,,,,568.0,84658.2097135448,-6720.031788618974,98,1,89.19,0.0
99,,,,566.0,84663.2097135448,-6715.031788618974,99,1,89.159,0.0
120,,,,612.0,84770.2097135448,-6608.031788618974,120,1,89.122,0.0
123,,,,643.0,84786.2097135448,-6592.031788618974,123,1,89.106,0.0
124,,,,661.0,84791.2097135448,-6587.031788618974,124,1,89.069,0.0
126,,,,684.0,84801.2097135448,-6577.031788618974,126,1,89.059,0.0
127,,,,701.0,84806.2097135448,-6572.031788618974,127,1,89.044,0.0
136,,,,789.0,84851.2097135448,-6527.031788618974,136,1,89.014,0.0
137,,,,800.0,84857.2097135448,-6521.031788618974,137,1,89.003,0.0
140,,,,827.0,84872.2097135448,-6506.031788618974,140,1,88.939,0.0
141,,,,835.0,84877.2097135448,-6501.031788618974,141,1,88.901,0.0
143,,,,851.0,84887.2097135448,-6491.031788618974,143,1,88.882,0.0
144,,,,861.0,84892.2097135448,-6486.031788618974,144,1,88.842,0.0
145,,,,870.0,84897.2097135448,-6481.031788618974,145,1,88.834,0.0
146,,,,879.0,84902.2097135448,-6476.031788618974,146,1,88.814,0.0
148,,,,900.0,84913.2097135448,-6465.031788618974,148,1,88.811,0.0
152,,,,932.0,84933.2097135448,-6445.031788618974,152,1,88.78,0.0
153,,,,949.0,84938.2097135448,-6440.031788618974,153,1,88.73,0.0
154,,,,953.0,84943.2097135448,-6435.031788618974,154,1,88.715,0.0
155,,,,961.0,84948.2097135448,-6430.031788618974,155,1,88.636,0.0
156,,,,965.0,84953.2097135448,-6425.031788618974,156,1,88.619,0.0
166,,,,1037.0,85004.2097135448,-6374.031788618974,166,1,88.564,0.0
178,,,,1124.0,85065.2097135448,-6313.031788618974,178,1,88.549,0.0
181,,,,1151.0,85080.2097135448,-6298.031788618974,181,1,88.485,0.0
185,,,,1176.0,85101.2097135448,-6277.031788618974,185,1,88.476,0.0
189,,,,1203.0,85121.2097135448,-6257.031788618974,189,1,88.472,0.0
197,,,,1271.0,85162.2097135448,-6216.031788618974,197,1,88.411,0.0
199,,,,1282.0,85172.2097135448,-6206.031788618974,199,1,88.364,0.0
207,,,,1333.0,85212.2097135448,-6166.031788618974,207,1,88.359,0.0
211,,,,1363.0,85233.2097135448,-6145.031788618974,211,1,88.308,0.0
212,,,,1371.0,85238.2097135448,-6140.031788618974,212,1,88.235,0.0
213,,,,1372.0,85243.2097135448,-6135.031788618974,213,1,88.212,0.0
214,,,,1378.0,85248.2097135448,-6130.031788618974,214,1,88.148,0.0
215,,,,1387.0,85253.2097135448,-6125.031788618974,215,1,88.09,0.0
241,,,,1475.0,85385.2097135448,-5993.031788618974,241,1,88.058,0.0
242,,,,1480.0,85391.2097135448,-5987.031788618974,242,1,88.011,0.0
243,,,,1486.0,85396.2097135448,-5982.031788618974,243,1,87.983,0.0
247,,,,1501.0,85416.2097135448,-5962.031788618974,247,1,87.957,0.0
248,,,,1501.0,85421.2097135448,-5957.031788618974,248,1,87.859,0.0
249,,,,1503.0,85426.2097135448,-5952.031788618974,249,1,87.76,0.0
253,,,,1513.0,85447.2097135448,-5931.031788618974,253,1,87.723,0.0
254,,,,1513.0,85452.2097135448,-5926.031788618974,254,1,87.69,0.0
267,,,,1547.0,85518.2097135448,-5860.031788618974,267,1,87.654,0.0
271,,,,1553.0,85539.2097135448,-5839.031788618974,271,1,87.595,0.0
272,,,,1555.0,85544.2097135448,-5834.031788618974,272,1,87.594,0.0
275,,,,1556.0,85559.2097135448,-5819.031788618974,275,1,87.59,0.0
276,,,,1559.0,85564.2097135448,-5814.031788618974,276,1,87.538,0.0
280,,,,1550.0,85585.2097135448,-5793.031788618974,280,1,87.477,0.0
286,,,,1530.0,85615.2097135448,-5763.031788618974,286,1,87.435,0.0
287,,,,1521.0,85620.2097135448,-5758.031788618974,287,1,87.404,0.0
288,,,,1514.0,85625.2097135448,-5753.031788618974,288,1,87.382,0.0
289,,,,1514.0,85631.2097135448,-5747.031788618974,289,1,87.325,0.0
290,,,,1508.0,85636.2097135448,-5742.031788618974,290,1,87.254,0.0
291,,,,1505.0,85641.2097135448,-5737.031788618974,291,1,87.213,0.0
294,,,,1493.0,85656.2097135448,-5722.031788618974,294,1,87.206,0.0
295,,,,1494.0,85661.2097135448,-5717.031788618974,295,1,87.15,0.0
296,,,,1498.0,85666.2097135448,-5712.031788618974,296,1,87.109,0.0
302,,,,1480.0,85697.2097135448,-5681.031788618974,302,1,87.073,0.0
317,,,,1503.0,85773.2097135448,-5605.031788618974,317,1,87.049,0.0
321,,,,1505.0,85794.2097135448,-5584.031788618974,321,1,87.01,0.0
326,,,,1494.0,85819.2097135448,-5559.031788618974,326,1,86.97,0.0
327,,,,1479.0,85824.2097135448,-5554.031788618974,327,1,86.892,0.0
328,,,,1473.0,85829.2097135448,-5549.031788618974,328,1,86.84,0.0
329,,,,1466.0,85835.2097135448,-5543.031788618974,329,1,86.788,0.0
330,,,,1455.0,85840.2097135448,-5538.031788618974,330,1,86.711,0.0
331,,,,1455.0,85842.2097135448,-5536.031788618974,331,1,86.679,0.0
332,,,,1451.0,85843.2097135448,-5535.031788618974,332,1,86.664,0.0
333,,,,1442.0,85848.2097135448,-5530.031788618974,333,1,86.576,0.0
334,,,,1440.0,85853.2097135448,-5525.031788618974,334,1,86.494,0.0
335,,,,1422.0,85858.2097135448,-5520.031788618974,335,1,86.409,0.0
336,,,,1412.0,85863.2097135448,-5515.031788618974,336,1,86.317,0.0
337,,,,1404.0,85868.2097135448,-5510.031788618974,337,1,86.232,0.0
338,,,,1394.0,85873.2097135448,-5505.031788618974,338,1,86.124,0.0
339,,,,1386.0,85878.2097135448,-5500.031788618974,1,2,86.032,1360169.3145729231
340,,,,1377.0,85883.2097135448,-5495.031788618974,2,2,85.939,1373556.195561317
341,,,,1366.0,85889.2097135448,-5489.031788618974,3,2,85.844,1401659.0806610603
342,,,,1361.0,85894.2097135448,-5484.031788618974,4,2,85.752,1355997.4585204814
343,,,,1351.0,85899.2097135448,-5479.031788618974,5,2,85.671,1192733.1183645602
344,,,,1335.0,85904.2097135448,-5474.031788618974,6,2,85.582,1309310.472720747
345,,,,1321.0,85909.2097135448,-5469.031788618974,7,2,85.488,1381469.9195353473
346,,,,1308.0,85914.2097135448,-5464.031788618974,8,2,85.395,1365358.8445586616
347,,,,1298.0,85919.2097135448,-5459.031788618974,9,2,85.285,1613115.9785298526
348,,,,1288.0,85924.2097135448,-5454.031788618974,10,2,85.196,1303711.62245954
349,,,,1273.0,85929.2097135448,-5449.031788618974,11,2,85.108,1287799.7555327972
350,,,,1262.0,85935.2097135448,-5443.031788618974,12,2,85.019,1301171.0486413052
351,,,,1253.0,85940.2097135448,-5438.031788618974,13,2,84.936,1212295.3723748138
352,,,,1242.0,85945.2097135448,-5433.031788618974,14,2,84.85,1254937.2303726426
353,,,,1234.0,85950.2097135448,-5428.031788618974,15,2,84.761,1297450.9907554202
354,,,,1225.0,85955.2097135448,-5423.031788618974,16,2,84.674,1267052.4233296993
355,,,,1214.0,85960.2097135448,-5418.031788618974,17,2,84.581,1353075.1624411917
356,,,,1206.0,85965.2097135448,-5413.031788618974,18,2,84.488,1351666.8398185666
357,,,,1197.0,85970.2097135448,-5408.031788618974,19,2,84.397,1321236.1769398658
358,,,,1184.0,85975.2097135448,-5403.031788618974,20,2,84.283,1653262.0146908667
359,,,,1171.0,85980.2097135448,-5398.031788618974,21,2,84.196,1260269.798452611
360,,,,1161.0,85986.2097135448,-5392.031788618974,22,2,84.106,1302448.5960488608
361,,,,1157.0,85991.2097135448,-5387.031788618974,23,2,84.013,1344478.3252821693
362,,,,1151.0,85996.2097135448,-5382.031788618974,24,2,83.922,1314201.3865203355
363,,,,1147.0,86001.2097135448,-5377.031788618974,25,2,83.832,1298434.2240857887
364,,,,1143.0,86006.2097135448,-5372.031788618974,26,2,83.744,1268306.740708126
